Tinamous: Tinamidae
1	Little Tinamou	Crypturellus soui
Guans, Chachalacas, and Curassows: Cracidae		
2	Crested Guan	Penelope purpurascens
3	Sickle-winged Guan	Chamaepetes goudotii
New World Quail: Odontophoridae		
4	Crested Bobwhite	Colinus cristatus
5	Black-fronted Wood-Quail	Odontophorus atrifrons
Pigeons and Doves: Columbidae		
6	Pale-vented Pigeon	Patagioenas cayennensis
7	Scaled Pigeon	Patagioenas speciosa
8	Bare-eyed Pigeon	Patagioenas corensis
9	Band-tailed Pigeon	Patagioenas fasciata
10	Ruddy Pigeon	Patagioenas subvinacea
11	Plain-breasted Ground-Dove	Columbina minuta
12	Ruddy Ground-Dove	Columbina talpacoti
13	Blue Ground-Dove	Claravis pretiosa
14	Maroon-chested Ground-Dove	Claravis mondetoura
15	Ruddy Quail-Dove	Geotrygon montana
16	White-tipped Dove	Leptotila verreauxi
17	Lined Quail-Dove	Zentrygon linearis
Cuckoos: Cuculidae		
18	Smooth-billed Ani	Crotophaga ani
19	Groove-billed Ani	Crotophaga sulcirostris
20	Striped Cuckoo	Tapera naevia
21	Squirrel Cuckoo	Piaya cayana
Nightjars and Allies: Caprimulgidae		
22	Nacunda Nighthawk	Chordeiles nacunda
23	Lesser Nighthawk	Chordeiles acutipennis
24	|Common Nighthawk|	Chordeiles minor
25	Common Pauraque	Nyctidromus albicollis
Oilbird: Steatornithidae		
26	Oilbird	Steatornis caripensis
Swifts: Apodidae		
27	White-collared Swift	Streptoprocne zonaris
28	Lesser Swallow-tailed Swift	Panyptila cayennensis
Hummingbirds: Trochilidae		
29	White-necked Jacobin	Florisuga mellivora
30	Bronzy Hermit	Glaucis aeneus
31	Rufous-breasted Hermit	Glaucis hirsutus
32	Tawny-bellied Hermit	Phaethornis syrmatophorus
33	Long-billed Hermit	Phaethornis longirostris
34	Pale-bellied Hermit	Phaethornis anthophilus
35	Little Hermit (Stripe-throated Hermit)	Phaethornis striigularis
36	Gray-chinned Hermit	Phaethornis griseogularis
37	Sooty-capped Hermit	Phaethornis augusti
38	<Brown Violetear>	Colibri delphinae
39	Lesser Violetear	Colibri cyanotus
40	Sparkling Violetear	Colibri coruscans
41	Ruby-topaz Hummingbird	Chrysolampis mosquitus
42	Black-throated Mango	Anthracothorax nigricollis
43	Speckled Hummingbird	Adelomyia melanogenys
44	Santa Marta Blossomcrown	Anthocephala floriceps
45	Black-backed Thornbill	Ramphomicron dorsale
46	Tyrian Metaltail	Metallura tyrianthina
47	White-tailed Starfrontlet	Coeligena phalerata
48	Golden-bellied Starfrontlet	Coeligena bonapartei
49	Mountain Velvetbreast	Lafresnaya lafresnayi
50	Long-billed Starthroat	Heliomaster longirostris
51	Santa Marta Woodstar	Chaetocercus astreans
52	Red-billed Emerald	Chlorostilbon gibsoni
53	Coppery Emerald	Chlorostilbon russatus
54	Lazuline Sabrewing	Campylopterus falcatus
55	Santa Marta Sabrewing	Campylopterus phainopeplus
56	White-vented Plumeleteer	Chalybura buffonii
57	Crowned Woodnymph	Thalurania fannyi
58	Steely-vented Hummingbird	Amazilia saucerottei
59	Rufous-tailed Hummingbird	Amazilia tzacatl
60	Sapphire-throated Hummingbird	Lepidopyga coeruleogularis
61	Shining-green Hummingbird	Lepidopyga goudoti
62	White-chinned Sapphire	Hylocharis cyanus
New World Vultures: Cathartidae		
63	Black Vulture	Coragyps atratus
64	Turkey Vulture	Cathartes aura
65	Andean Condor	Vultur gryphus
Hawks, Eagles, and Kites: Accipitridae		
66	Pearl Kite	Gampsonyx swainsonii
67	Black-and-chestnut Eagle	Spizaetus isidori
68	Plumbeous Kite	Ictinia plumbea
69	Semicollared Hawk	Accipiter collaris
70	Sharp-shinned Hawk	Accipiter striatus
71	Common Black Hawk	Buteogallus anthracinus
72	Solitary Eagle	Buteogallus solitarius
73	Roadside Hawk	Rupornis magnirostris
74	White-rumped Hawk	Parabuteo leucorrhous
75	Gray-lined Hawk	Buteo nitidus
76	/Broad-winged Hawk/	Buteo platypterus
Owls: Strigidae		
