1	soui	Little Tinamou	1
2	purpurascens	Crested Guan	2
3	goudotii	Sickle-winged Guan	3
4	cristatus	Crested Bobwhite	4
5	atrifrons	Black-fronted Wood-Quail	5
6	cayennensis	Pale-vented Pigeon	6
7	speciosa	Scaled Pigeon	6
8	corensis	Bare-eyed Pigeon	6
9	fasciata	Band-tailed Pigeon	6
10	subvinacea	Ruddy Pigeon	6
11	minuta	Plain-breasted Ground-Dove	7
12	talpacoti	Ruddy Ground-Dove	7
13	pretiosa	Blue Ground-Dove	8
14	mondetoura	Maroon-chested Ground-Dove	8
15	montana	Ruddy Quail-Dove	9
16	verreauxi	White-tipped Dove	10
17	linearis	Lined Quail-Dove	11
18	ani	Smooth-billed Ani	12
19	sulcirostris	Groove-billed Ani	12
20	naevia	Striped Cuckoo	13
21	cayana	Squirrel Cuckoo	14
22	nacunda	Nacunda Nighthawk	15
23	acutipennis	Lesser Nighthawk	15
24	minor	|Common Nighthawk|	15
25	albicollis	Common Pauraque	16
26	caripensis	Oilbird	17
27	zonaris	White-collared Swift	18
28	cayennensis	Lesser Swallow-tailed Swift	19
29	mellivora	White-necked Jacobin	20
30	aeneus	Bronzy Hermit	21
31	hirsutus	Rufous-breasted Hermit	21
32	syrmatophorus	Tawny-bellied Hermit	22
33	longirostris	Long-billed Hermit	22
34	anthophilus	Pale-bellied Hermit	22
35	striigularis	Little Hermit (Stripe-throated Hermit)	22
36	griseogularis	Gray-chinned Hermit	22
37	augusti	Sooty-capped Hermit	22
38	delphinae	<Brown Violetear>	23
39	cyanotus	Lesser Violetear	23
40	coruscans	Sparkling Violetear	23
41	mosquitus	Ruby-topaz Hummingbird	24
42	nigricollis	Black-throated Mango	25
43	melanogenys	Speckled Hummingbird	26
44	floriceps	Santa Marta Blossomcrown	27
45	dorsale	Black-backed Thornbill	28
46	tyrianthina	Tyrian Metaltail	29
47	phalerata	White-tailed Starfrontlet	30
48	bonapartei	Golden-bellied Starfrontlet	30
49	lafresnayi	Mountain Velvetbreast	31
50	longirostris	Long-billed Starthroat	32
51	astreans	Santa Marta Woodstar	33
52	gibsoni	Red-billed Emerald	34
53	russatus	Coppery Emerald	34
54	falcatus	Lazuline Sabrewing	35
55	phainopeplus	Santa Marta Sabrewing	35
56	buffonii	White-vented Plumeleteer	36
57	fannyi	Crowned Woodnymph	37
58	saucerottei	Steely-vented Hummingbird	38
59	tzacatl	Rufous-tailed Hummingbird	38
60	coeruleogularis	Sapphire-throated Hummingbird	39
61	goudoti	Shining-green Hummingbird	39
62	cyanus	White-chinned Sapphire	40
63	atratus	Black Vulture	41
64	aura	Turkey Vulture	42
65	gryphus	Andean Condor	43
66	swainsonii	Pearl Kite	44
67	isidori	Black-and-chestnut Eagle	45
68	plumbea	Plumbeous Kite	46
69	collaris	Semicollared Hawk	47
70	striatus	Sharp-shinned Hawk	47
71	anthracinus	Common Black Hawk	48
72	solitarius	Solitary Eagle	48
73	magnirostris	Roadside Hawk	49
74	leucorrhous	White-rumped Hawk	50
75	nitidus	Gray-lined Hawk	51
76	platypterus	/Broad-winged Hawk/	51
77	gilesi	Santa Marta Screech-Owl	52
78	virginianus	Great Horned Owl	53
79	brasilianum	Ferruginous Pygmy-Owl	54
80	virgata	Mottled Owl	55
81	nigrolineata	Black-and-white Owl	55
82	fulgidus	White-tipped Quetzal	56
83	violaceus	Guianan Trogon	57
84	personatus	Masked Trogon	57
85	subrufescens	Whooping Motmot	58
86	amazona	Amazon Kingfisher	59
87	ruficollis	Russet-throated Puffbird	60
88	ruficauda	Rufous-tailed Jacamar	61
89	albivitta	Southern Emerald-Toucanet	62
90	sulcatus	Groove-billed Toucanet	62
91	torquatus	Collared Aracari	63
92	sulfuratus	Keel-billed Toucan	64
93	squamulatus	Scaled Piculet	65
94	cinnamomeus	Chestnut Piculet	65
95	rubricapillus	Red-crowned Woodpecker	66
96	fumigatus	Smoky-brown Woodpecker	67
97	kirkii	Red-rumped Woodpecker	67
98	pollens	Powerful Woodpecker	68
99	melanoleucos	Crimson-crested Woodpecker	68
100	lineatus	Lineated Woodpecker	69
101	chrysochloros	Golden-green Woodpecker	70
102	rubiginosus	Golden-olive Woodpecker	71
103	ruficollis	Barred Forest-Falcon	72
104	cheriway	Crested Caracara	73
105	chimachima	Yellow-headed Caracara	74
106	cachinnans	Laughing Falcon	75
107	sparverius	American Kestrel	76
108	rufigularis	Bat Falcon	76
109	lineola	Barred Parakeet	77
110	jugularis	Orange-chinned Parakeet	78
111	sordidus	Red-billed Parrot	79
112	menstruus	Blue-headed Parrot	79
113	mercenarius	Scaly-naped Parrot	80
114	xanthopterygius	Blue-winged Parrotlet	81
115	conspicillatus	Spectacled Parrotlet	81
116	viridicata	Santa Marta Parakeet	82
117	pertinax	Brown-throated Parakeet	83
118	militaris	Military Macaw	84
119	wagleri	Scarlet-fronted Parakeet	85
120	canadensis	Black-crested Antshrike	86
121	doliatus	Barred Antshrike	87
122	punctatus	Guianan Slaty-Antshrike (Northern Slaty-Antshrike)	87
123	melanonotus	Black-backed Antshrike	87
124	grisea	White-fringed Antwren	88
125	klagesi	Klages's Antbird	89
126	bangsi	Santa Marta Antpitta	90
127	rufula	Rufous Antpitta	90
128	ferrugineipectus	Rusty-breasted Antpitta	91
129	latrans	Blackish Tapaculo	92
130	sanctaemartae	Santa Marta Tapaculo	92
131	latebricola	Brown-rumped Tapaculo	92
132	albigularis	Gray-throated Leaftosser	93
133	griseicapillus	Olivaceous Woodcreeper	94
134	homochroa	Ruddy Woodcreeper	95
135	fuliginosa	Plain-brown Woodcreeper	95
136	spirurus	Wedge-billed Woodcreeper	96
137	sanctithomae	Northern Barred-Woodcreeper	97
138	picumnus	Black-banded Woodcreeper	97
139	promeropirhynchus	Strong-billed Woodcreeper	98
140	ocellatus	Ocellated Woodcreeper	99
141	susurrans	Cocoa Woodcreeper	99
142	picus	Straight-billed Woodcreeper	100
143	souleyetii	Streak-headed Woodcreeper	101
144	lacrymiger	Montane Woodcreeper	101
145	minutus	Plain Xenops	102
146	rutilans	Streaked Xenops	102
147	striaticollis	Montane Foliage-gleaner	103
148	rubiginosus	Ruddy Foliage-gleaner	104
149	flammulatus	Flammulated Treehunter	105
150	brunnescens	Spotted Barbtail	106
151	hellmayri	Streak-capped Spinetail	107
152	albescens	Pale-breasted Spinetail	108
153	unirufa	Rufous Spinetail	108
154	fuscorufa	Rusty-headed Spinetail	108
155	leucophrys	White-throated Tyrannulet	109
156	murina	Mouse-colored Tyrannulet	110
157	flaveola	Yellow Tyrannulet	111
158	gaimardii	Forest Elaenia	112
159	flavogaster	Yellow-bellied Elaenia	113
160	chiriquensis	Lesser Elaenia	113
161	frantzii	Mountain Elaenia	113
162	pallatangae	Sierran Elaenia	113
163	striaticollis	Streak-necked Flycatcher	114
164	olivaceus	Olive-striped Flycatcher	114
165	oleagineus	Ochre-bellied Flycatcher	114
166	amaurocephalus	Sepia-capped Flycatcher	115
167	superciliaris	Slaty-capped Flycatcher	115
168	griseiceps	Sooty-headed Tyrannulet	116
169	nigrocapillus	Black-capped Tyrannulet	116
170	improbus	Spectacled Tyrannulet	117
171	chrysops	Golden-faced Tyrannulet	117
172	arenarum	Northern Scrub-Flycatcher	118
173	tenuirostris	Slender-billed Tyrannulet	119
174	meloryphus	Tawny-crowned Pygmy-Tyrant	120
175	pilaris	Pale-eyed Pygmy-Tyrant	121
176	granadensis	Black-throated Tody-Tyrant	122
177	sylvia	Slate-headed Tody-Tyrant (Slate-headed Tody-Flycatcher)	123
178	cinereum	Common Tody-Flycatcher	124
179	sulphurescens	Yellow-olive Flycatcher	125
180	flaviventris	Yellow-breasted Flycatcher	125
181	mystaceus	White-throated Spadebill	126
182	mexicanus	Northern Royal-Flycatcher	127
183	cinnamomeus	Cinnamon Flycatcher	128
184	fasciatus	Bran-colored Flycatcher	129
185	euleri	Euler's Flycatcher	130
186	audax	Black-billed Flycatcher	131
187	cooperi	/Olive-sided Flycatcher/	132
188	fumigatus	Smoke-colored Pewee	132
189	sordidulus	/Western Wood-Pewee/	132
190	virens	Eastern Wood-Pewee	132
191	cinereus	Tropical Pewee	132
192	fuscatus	Fuscous Flycatcher	133
193	traillii	/Willow Flycatcher/	134
194	nigricans	Black Phoebe	135
195	striaticollis	Streak-throated Bush-Tyrant	136
196	pernix	Santa Marta Bush-Tyrant	136
197	diadema	Yellow-bellied Chat-Tyrant	137
198	rixosa	Cattle Tyrant	138
199	spadiceus	Bright-rumped Attila	139
200	tuberculifer	Dusky-capped Flycatcher	140
201	venezuelensis	Venezuelan Flycatcher	140
202	cephalotes	Pale-edged Flycatcher	140
203	crinitus	/Great Crested Flycatcher/	140
204	tyrannulus	Brown-crested Flycatcher	140
205	lictor	Lesser Kiskadee	141
206	sulphuratus	Great Kiskadee	141
207	pitangua	Boat-billed Flycatcher	142
208	cayanensis	Rusty-margined Flycatcher	143
209	similis	Social Flycatcher	143
210	chrysocephalus	Golden-crowned Flycatcher	144
211	maculatus	Streaked Flycatcher	144
212	leucophaius	Piratic Flycatcher	145
213	melancholicus	Tropical Kingbird	146
214	savana	Fork-tailed Flycatcher	146
215	aureopectus	Golden-breasted Fruiteater	147
216	lanceolata	Lance-tailed Manakin	148
217	manacus	White-bearded Manakin	149
